ID,Book Title,Title,Authors,PDFs
277090,USENIX Security 22,Aardvark: An Asynchronous Authenticated Dictionary with Applications to Account-based Cryptocurrencies,Derek Leung and Yossi Gilad and Sergey Gorbunov and Leonid Reyzin and Nickolai Zeldovich,https://www.usenix.org/system/files/sec22-leung.pdf
276984,NSDI 22,Accelerating Collective Communication in Data Parallel Training across Deep Learning Frameworks,Joshua Romero and Junqi Yin and Nouamane Laanait and Bing Xie and M. Todd Young and Sean Treichler and Vitalii Starchenko and Albina Borisevich and Alex Sergeev and Michael Matheson,https://www.usenix.org/system/files/nsdi22-paper-romero.pdf
280700,USENIX ATC 22,{AddrMiner}: A Comprehensive Global Active {IPv6} Address Discovery System,Guanglei Song and Jiahai Yang and Lin He and Zhiliang Wang and Guo Li and Chenxin Duan and Yaozhong Liu and Zhongxiang Sun,https://www.usenix.org/system/files/atc22-song.pdf
277178,USENIX Security 22,Adversarial Detection Avoidance Attacks: Evaluating the robustness of perceptual hashing-based client-side scanning,Shubham Jain and Ana-Maria Cretu and Yves-Alexandre de Montjoye,https://www.usenix.org/system/files/sec22-jain.pdf
279992,USENIX Security 22,{ALASTOR}: Reconstructing the Provenance of Serverless Intrusions,Pubali Datta and Isaac Polinsky and Muhammad Adil Inam and Adam Bates and William Enck,https://www.usenix.org/system/files/sec22-datta.pdf
280678,USENIX ATC 22,{AlNiCo}: {SmartNIC-accelerated} Contention-aware Request Scheduling for Transaction Processing,Junru Li and Youyou Lu and Qing Wang and Jiazhen Lin and Zhe Yang and Jiwu Shu,https://www.usenix.org/system/files/atc22-li-junru.pdf
280874,OSDI 22,Alpa: Automating Inter- and {Intra-Operator} Parallelism for Distributed Deep Learning,Lianmin Zheng and Zhuohan Li and Hao Zhang and Yonghao Zhuang and Zhifeng Chen and Yanping Huang and Yida Wang and Yuanzhong Xu and Danyang Zhuo and Eric P. Xing and Joseph E. Gonzalez and Ion Stoica,https://www.usenix.org/system/files/osdi22-zheng-lianmin.pdf
280754,USENIX ATC 22,"Amazon {DynamoDB}: A Scalable, Predictably Performant, and Fully Managed {NoSQL} Database Service",Mostafa Elhemali and Niall Gallagher and Nick Gordon and Joseph Idziorek and Richard Krog and Colin Lazier and Erben Mo and Akhilesh Mritunjai and Somasundaram Perianayagam and Tim Rath and Swami Sivasubramanian and James Christopher Sorenson III and Sroaj Sosothikul and Doug Terry and Akshat Vig,https://www.usenix.org/system/files/atc22-elhemali.pdf
277096,USENIX Security 22,{AMD} Prefetch Attacks through Power and Time,Moritz Lipp and Daniel Gruss and Michael Schwarz,https://www.usenix.org/system/files/sec22-lipp.pdf
281376,USENIX Security 22,{AmpFuzz}: Fuzzing for Amplification {DDoS} Vulnerabilities,Johannes Krupp and Ilya Grishchenko and Christian Rossow,https://www.usenix.org/system/files/sec22-krupp.pdf
281244,SOUPS 2022,{Anti-Privacy} and {Anti-Security} Advice on {TikTok}: Case Studies of {Technology-Enabled} Surveillance and Control in Intimate Partner and {Parent-Child} Relationships,Miranda Wei and Eric Zeng and Tadayoshi Kohno and Franziska Roesner,https://www.usenix.org/system/files/soups2022-wei.pdf
281402,USENIX Security 22,The Antrim County 2020 Election Incident: An Independent Forensic Investigation,J. Alex Halderman,https://www.usenix.org/system/files/sec22-halderman.pdf
279965,USENIX Security 22,Anycast Agility: Network Playbooks to Fight {DDoS},A S M Rizvi and Leandro Bertholdo and Jo{\~a}o Ceron and John Heidemann,https://www.usenix.org/system/files/sec22-rizvi.pdf
280886,OSDI 22,{Application-Informed} Kernel Synchronization Primitives,Sujin Park and Diyu Zhou and Yuchen Qian and Irina Calciu and Taesoo Kim and Sanidhya Kashyap,https://www.usenix.org/system/files/osdi22-park.pdf
278358,NSDI 22,"Aquila: A unified, low-latency fabric for datacenter networks",Dan Gibson and Hema Hariharan and Eric Lance and Moray McLaren and Behnam Montazeri and Arjun Singh and Stephen Wang and Hassan M. G. Wassel and Zhehua Wu and Sunghwan Yoo and Raghuraman Balasubramanian and Prashant Chandra and Michael Cutforth and Peter Cuy and David Decotigny and Rakesh Gautam and Alex Iriza and Milo M. K. Martin and Rick Roy and Zuowei Shen and Ming Tan and Ye Tang and Monica Wong-Chan and Joe Zbiciak and Amin Vahdat,https://www.usenix.org/system/files/nsdi22-paper-gibson.pdf
279936,USENIX Security 22,Arbiter: Bridging the Static and Dynamic Divide in Vulnerability Discovery on Binary Programs,Jayakrishna Vadayath and Moritz Eckert and Kyle Zeng and Nicolaas Weideman and Gokulkrishna Praveen Menon and Yanick Fratantonio and Davide Balzarotti and Adam Doup{\'e} and Tiffany Bao and Ruoyu Wang and Christophe Hauser and Yan Shoshitaishvili,https://www.usenix.org/system/files/sec22-vadayath.pdf
280036,USENIX Security 22,Are Your Sensitive Attributes Private? Novel Model Inversion Attribute Inference Attacks on Classification Models,Shagufta Mehnaz and Sayanton V. Dibbo and Ehsanul Kabir and Ninghui Li and Elisa Bertino,https://www.usenix.org/system/files/sec22-mehnaz.pdf
281234,SOUPS 2022,"""As soon as it{\textquoteright}s a risk, I want to require {MFA""}: How Administrators Configure Risk-based Authentication","Philipp Markert and Theodor Schnitzler and Maximilian Golla and Markus D{\""u}rmuth",https://www.usenix.org/system/files/soups2022-markert.pdf
279958,USENIX Security 22,Attacks on Deidentification{\textquoteright}s Defenses,Aloni Cohen,https://www.usenix.org/system/files/sec22-cohen.pdf
277076,USENIX Security 22,An Audit of Facebook{\textquoteright}s Political Ad Policy Enforcement,Victor Le Pochat and Laura Edelson and Tom Van Goethem and Wouter Joosen and Damon McCoy and Tobias Lauinger,https://www.usenix.org/system/files/sec22-lepochat.pdf
277158,USENIX Security 22,Augmenting Decompiler Output with Learned Variable Names and Types,Qibin Chen and Jeremy Lacomis and Edward J. Schwartz and Claire Le Goues and Graham Neubig and Bogdan Vasilescu,https://www.usenix.org/system/files/sec22-chen-qibin.pdf
281216,SOUPS 2022,"Aunties, Strangers, and the {FBI}: Online Privacy Concerns and Experiences of {Muslim-American} Women",Tanisha Afnan and Yixin Zou and Maryam Mustafa and Mustafa Naseem and Florian Schaub,https://www.usenix.org/system/files/soups2022-afnan.pdf
277812,FAST 22,Aurogon: Taming Aborts in All Phases for Distributed {In-Memory} Transactions,Tianyang Jiang and Guangyan Zhang and Zhiyue Li and Weimin Zheng,https://www.usenix.org/system/files/fast22-jiang.pdf
281298,USENIX Security 22,{AutoDA}: Automated Decision-based Iterative Adversarial Attacks,Qi-An Fu and Yinpeng Dong and Hang Su and Jun Zhu and Chao Zhang,https://www.usenix.org/system/files/sec22-fu-qi.pdf
279982,USENIX Security 22,Automated Detection of Automated Traffic,Cormac Herley,https://www.usenix.org/system/files/sec22-herley.pdf
277232,USENIX Security 22,Automated Side Channel Analysis of Media Software with Manifold Learning,Yuanyuan Yuan and Qi Pang and Shuai Wang,https://www.usenix.org/system/files/sec22-yuan-yuanyuan.pdf
278342,NSDI 22,Automated Verification of Network Function Binaries,Solal Pirelli and Akvil{\.e} Valentukonyt{\.e} and Katerina Argyraki and George Candea,https://www.usenix.org/system/files/nsdi22-paper-pirelli.pdf
280760,USENIX ATC 22,Automatic Recovery of Fine-grained Compiler Artifacts at the Binary Level,Yufei Du and Ryan Court and Kevin Snow and Fabian Monrose,https://www.usenix.org/system/files/atc22-du.pdf
280892,OSDI 22,Automatic Reliability Testing For Cluster Management Controllers,Xudong Sun and Wenqing Luo and Jiawei Tyler Gu and Aishwarya Ganesan and Ramnatthan Alagappan and Michael Gasch and Lalith Suresh and Tianyin Xu,https://www.usenix.org/system/files/osdi22-sun.pdf
277190,USENIX Security 22,Automating Cookie Consent and {GDPR} Violation Detection,Dino Bollinger and Karel Kubicek and Carlos Cotrini and David Basin,https://www.usenix.org/system/files/sec22-bollinger.pdf
278300,NSDI 22,Backdraft: a Lossless Virtual Switch that Prevents the Slow Receiver Problem,Alireza Sanaee and Farbod Shahinfar and Gianni Antichi and Brent E. Stephens,https://www.usenix.org/system/files/nsdi22-paper-sanaee.pdf
280014,USENIX Security 22,Backporting Security Patches of Web Applications: A Prototype Design and Implementation on Injection Vulnerability Patches,Youkun Shi and Yuan Zhang and Tianhan Luo and Xiangyu Mao and Yinzhi Cao and Ziwen Wang and Yudi Zhao and Zongan Huang and Min Yang,https://www.usenix.org/system/files/sec22-shi.pdf
276958,NSDI 22,Backpressure Flow Control,Prateesh Goyal and Preey Shah and Kevin Zhao and Georgios Nikolaidis and Mohammad Alizadeh and Thomas E. Anderson,https://www.usenix.org/system/files/nsdi22-paper-goyal.pdf
277080,USENIX Security 22,{Back-Propagating} System Dependency Impact for Attack Investigation,Pengcheng Fang and Peng Gao and Changlin Liu and Erman Ayday and Kangkook Jee and Ting Wang and Yanfang (Fanny) Ye and Zhuotao Liu and Xusheng Xiao,https://www.usenix.org/system/files/sec22-fang.pdf
281280,SOUPS 2022,Balancing Power Dynamics in Smart Homes: Nannies{\textquoteright} Perspectives on How Cameras Reflect and Affect Relationships,Julia Bernd and Ruba Abu-Salma and Junghyun Choy and Alisa Frik,https://www.usenix.org/system/files/soups2022-bernd.pdf
281400,USENIX Security 22,Batched Differentially Private Information Retrieval,Kinan Dak Albab and Rawane Issa and Mayank Varia and Kalman Graffi,https://www.usenix.org/system/files/sec22-albab.pdf
280732,USENIX ATC 22,{BBQ}: A Block-based Bounded Queue for Exchanging Data and Profiling,"Jiawei Wang and Diogo Behrens and Ming Fu and Lilith Oberhauser and Jonas Oberhauser and Jitang Lei and Geng Chen and Hermann H{\""a}rtig and Haibo Chen",https://www.usenix.org/system/files/atc22-wang-jiawei.pdf
277184,USENIX Security 22,Bedrock: Programmable Network Support for Secure {RDMA} Systems,Jiarong Xing and Kuo-Feng Hsu and Yiming Qiu and Ziyang Yang and Hongyi Liu and Ang Chen,https://www.usenix.org/system/files/sec22-xing.pdf
277236,USENIX Security 22,Behind the Tube: Exploitative Monetization of Content on {YouTube},Andrew Chu and Arjun Arunasalam and Muslum Ozgur Ozmen and Z. Berkay Celik,https://www.usenix.org/system/files/sec22-chu.pdf
281212,SOUPS 2022,Being Hacked: Understanding Victims{\textquoteright} Experiences of {IoT} Hacking,Asreen Rostami and Minna Vigren and Shahid Raza and Barry Brown,https://www.usenix.org/system/files/soups2022-rostami.pdf
281362,USENIX Security 22,Binoculars: {Contention-Based} {Side-Channel} Attacks Exploiting the Page Walker,Zirui Neil Zhao and Adam Morrison and Christopher W. Fletcher and Josep Torrellas,https://www.usenix.org/system/files/sec22-zhao-zirui.pdf
281334,USENIX Security 22,Birds of a Feather Flock Together: How Set Bias Helps to Deanonymize You via Revealed Intersection Sizes,Xiaojie Guo and Ye Han and Zheli Liu and Ding Wang and Yan Jia and Jin Li,https://www.usenix.org/system/files/sec22-guo.pdf
280898,OSDI 22,{BlackBox}: A Container Security Monitor for Protecting Containers on Untrusted Operating Systems,Alexander Van{\textquoteright}t Hof and Jason Nieh,https://www.usenix.org/system/files/osdi22-vant-hof.pdf
281294,USENIX Security 22,Blacklight: Scalable Defense for Neural Networks against {Query-Based} {Black-Box} Attacks,Huiying Li and Shawn Shan and Emily Wenger and Jiayun Zhang and Haitao Zheng and Ben Y. Zhao,https://www.usenix.org/system/files/sec22-li-huiying.pdf
280906,OSDI 22,Blockaid: Data Access Policy Enforcement for Web Applications,Wen Zhang and Eric Sheng and Michael Chang and Aurojit Panda and Mooly Sagiv and Scott Shenker,https://www.usenix.org/system/files/osdi22-zhang.pdf
280926,OSDI 22,{BlockFlex}: Enabling Storage Harvesting with {Software-Defined} Flash in Modern Cloud Platforms,Benjamin Reidys and Jinghan Sun and Anirudh Badam and Shadi Noghabi and Jian Huang,https://www.usenix.org/system/files/osdi22-reidys.pdf
276960,NSDI 22,Bluebird: High-performance {SDN} for Bare-metal Cloud Services,Manikandan Arumugam and Deepak Bansal and Navdeep Bhatia and James Boerner and Simon Capper and Changhoon Kim and Sarah McClure and Neeraj Motwani and Ranga Narasimhan and Urvish Panchal and Tommaso Pimpo and Ariff Premji and Pranjal Shrivastava and Rishabh Tewari,https://www.usenix.org/system/files/nsdi22-paper-arumugam.pdf
281344,USENIX Security 22,{BrakTooth}: Causing Havoc on Bluetooth Link Manager via Directed Fuzzing,Matheus E. Garbelini and Vaibhav Bedi and Sudipta Chattopadhyay and Sumei Sun and Ernest Kurniawan,https://www.usenix.org/system/files/sec22-garbelini.pdf
280032,USENIX Security 22,Branch History Injection: On the Effectiveness of Hardware Mitigations Against {Cross-Privilege} Spectre-v2 Attacks,Enrico Barberis and Pietro Frigo and Marius Muench and Herbert Bos and Cristiano Giuffrida,https://www.usenix.org/system/files/sec22-barberis.pdf
279938,USENIX Security 22,"Breaking Bridgefy, again: Adopting libsignal is not enough",Martin R. Albrecht and Raphael Eikenberg and Kenneth G. Paterson,https://www.usenix.org/system/files/sec22-albrecht.pdf
278298,NSDI 22,Buffer-based End-to-end Request Event Monitoring in the Cloud,Kaihui Gao and Chen Sun and Shuai Wang and Dan Li and Yu Zhou and Hongqiang Harry Liu and Lingjun Zhu and Ming Zhang,https://www.usenix.org/system/files/nsdi22-paper-gao_kaihui.pdf
280714,USENIX ATC 22,Building a High-performance Fine-grained Deduplication Framework for Backup Storage with High Deduplication Ratio,Xiangyu Zou and Wen Xia and Philip Shilane and Haijun Zhang and Xuan Wang,https://www.usenix.org/system/files/atc22-zou.pdf
279952,USENIX Security 22,"Building an Open, Robust, and Stable {Voting-Based} Domain Top List",Qinge Xie and Shujun Tang and Xiaofeng Zheng and Qingran Lin and Baojun Liu and Haixin Duan and Frank Li,https://www.usenix.org/system/files/sec22-xie.pdf
278340,NSDI 22,{C2DN}: How to Harness Erasure Codes at the Edge for Efficient Content Delivery,Juncheng Yang and Anirudh Sabnis and Daniel S. Berger and K. V. Rashmi and Ramesh K. Sitaraman,https://www.usenix.org/system/files/nsdi22-paper-yang_juncheng.pdf
280692,USENIX ATC 22,{CacheSack}: Admission Optimization for Google Datacenter Flash Caches,Tzu-Wei Yang and Seth Pollen and Mustafa Uysal and Arif Merchant and Homer Wolfmeister,https://www.usenix.org/system/files/atc22-yang-tzu-wei.pdf
277842,FAST 22,{CacheSifter}: Sifting Cache Files for Boosted Mobile Performance and Lifetime,Yu Liang and Riwei Pan and Tianyu Ren and Yufei Cui and Rachata Ausavarungnirun and Xianzhang Chen and Changlong Li and Tei-Wei Kuo and Chun Jason Xue,https://www.usenix.org/system/files/fast22-liang.pdf
280748,USENIX ATC 22,Cachew: Machine Learning Input Data Processing as a Service,Dan Graur and Damien Aymon and Dan Kluser and Tanguy Albrici and Chandramohan A. Thekkath and Ana Klimovic,https://www.usenix.org/system/files/atc22-graur.pdf
280706,USENIX ATC 22,Campo: {Cost-Aware} Performance Optimization for {Mixed-Precision} Neural Network Training,Xin He and Jianhua Sun and Hao Chen and Dong Li,https://www.usenix.org/system/files/atc22-he.pdf
279908,USENIX Security 22,{CamShield}: Securing Smart Cameras through Physical Replication and Isolation,Zhiwei Wang and Yihui Yan and Yueli Yan and Huangxun Chen and Zhice Yang,https://www.usenix.org/system/files/sec22-wang-zhiwei.pdf
277156,USENIX Security 22,Can one hear the shape of a neural network?: Snooping the {GPU} via Magnetic Side Channel,Henrique Teles Maia and Chang Xiao and Dingzeyu Li and Eitan Grinspun and Changxi Zheng,https://www.usenix.org/system/files/sec22-maia.pdf;https://www.usenix.org/system/files/sec22_slides-maia.pdf;https://www.usenix.org/system/files/sec22summer_maia.pdf
280880,OSDI 22,Cancellation in Systems: An Empirical Study of Task Cancellation Patterns and Failures,Utsav Sethi and Haochen Pan and Shan Lu and Madanlal Musuvathi and Suman Nath,https://www.usenix.org/system/files/osdi22-sethi.pdf
280860,OSDI 22,{CAP-VMs}: {Capability-Based} Isolation and Sharing in the Cloud,Vasily A. Sartakov and Llu{\'\i}s Vilanova and David Eyers and Takahiro Shinagawa and Peter Pietzuch,https://www.usenix.org/system/files/osdi22-sartakov.pdf
280894,OSDI 22,Carbink: {Fault-Tolerant} Far Memory,Yang Zhou and Hassan M. G. Wassel and Sihang Liu and Jiaqi Gao and James Mickens and Minlan Yu and Chris Kennelly and Paul Turner and David E. Culler and Henry M. Levy and Amin Vahdat,https://www.usenix.org/system/files/osdi22-zhou-yang.pdf
277136,USENIX Security 22,Caring about Sharing: User Perceptions of Multiparty Data Sharing,Bailey Kacsmar and Kyle Tilbury and Miti Mazmudar and Florian Kerschbaum,https://www.usenix.org/system/files/sec22-kacsmar.pdf
276962,NSDI 22,A Case for Task Sampling based Learning for Cluster Job Scheduling,Akshay Jajoo and Y. Charlie Hu and Xiaojun Lin and Nan Deng,https://www.usenix.org/system/files/nsdi22-paper-jajoo_5.pdf
280736,USENIX ATC 22,{CBMM}: Financial Advice for Kernel Memory Managers,Mark Mansi and Bijan Tabatabai and Michael M. Swift,https://www.usenix.org/system/files/atc22-mansi.pdf
281364,USENIX Security 22,{CellIFT}: Leveraging Cells for Scalable and Precise Dynamic Information Flow Tracking in {RTL},Flavien Solt and Ben Gras and Kaveh Razavi,https://www.usenix.org/system/files/sec22-solt.pdf
278380,NSDI 22,Cetus: Releasing P4 Programmers from the Chore of Trial and Error Compiling,Yifan Li and Jiaqi Gao and Ennan Zhai and Mengqi Liu and Kun Liu and Hongqiang Harry Liu,https://www.usenix.org/system/files/nsdi22-paper-li_yifan.pdf
278393,NSDI 22,Characterizing {Physical-Layer} Transmission Errors in Cable Broadband Networks,Jiyao Hu and Zhenyu Zhou and Xiaowei Yang,https://www.usenix.org/system/files/nsdi22-paper-hu.pdf
281396,USENIX Security 22,Characterizing the Security of Github {CI} Workflows,Igibek Koishybayev and Aleksandr Nahapetyan and Raima Zachariah and Siddharth Muralee and Bradley Reaves and Alexandros Kapravelos and Aravind Machiry,https://www.usenix.org/system/files/sec22-koishybayev.pdf
276968,NSDI 22,{Check-N-Run}: a Checkpointing System for Training Deep Learning Recommendation Models,Assaf Eisenman and Kiran Kumar Matam and Steven Ingram and Dheevatsa Mudigere and Raghuraman Krishnamoorthi and Krishnakumar Nair and Misha Smelyanskiy and Murali Annavaram,https://www.usenix.org/system/files/nsdi22-paper-eisenman.pdf
279898,USENIX Security 22,Cheetah: Lean and Fast Secure {Two-Party} Deep Neural Network Inference,Zhicong Huang and Wen-jie Lu and Cheng Hong and Jiansheng Ding,https://www.usenix.org/system/files/sec22-huang-zhicong.pdf
276970,NSDI 22,{cISP}: A {Speed-of-Light} Internet Service Provider,Debopam Bhattacherjee and Waqar Aqeel and Sangeetha Abdu Jyothi and Ilker Nadi Bozkurt and William Sentosa and Muhammad Tirmazi and Anthony Aguirre and Balakrishnan Chandrasekaran and P. Brighten Godfrey and Gregory Laughlin and Bruce Maggs and Ankit Singla,https://www.usenix.org/system/files/nsdi22-paper-bhattacherjee.pdf
276966,NSDI 22,Closed-loop Network Performance Monitoring and Diagnosis with {SpiderMon},Weitao Wang and Xinyu Crystal Wu and Praveen Tammana and Ang Chen and T. S. Eugene Ng,https://www.usenix.org/system/files/nsdi22-paper-wang_weitao_spidermon.pdf
277824,FAST 22,Closing the B+-tree vs. {LSM-tree} Write Amplification Gap on Modern Storage Hardware with Built-in Transparent Compression,Yifan Qiao and Xubin Chen and Ning Zheng and Jiangpeng Li and Yang Liu and Tong Zhang,https://www.usenix.org/system/files/fast22-qiao.pdf
